SUBDIVISION,JAN,FEB,MAR,APR
ANDAMAN & NICOBAR ISLANDS,49.2,87.1,29.2,2.3
ANDAMAN & NICOBAR ISLANDS,0,159.8,12.2,0
ANDAMAN & NICOBAR ISLANDS,12.7,144,0,1
ANDAMAN & NICOBAR ISLANDS,9.4,14.7,0,202.4
ANDAMAN & NICOBAR ISLANDS,1.3,0,3.3,26.9
ANDAMAN & NICOBAR ISLANDS,36.6,0,0,0
ANDAMAN & NICOBAR ISLANDS,110.7,0,113.3,21.6
ANDAMAN & NICOBAR ISLANDS,20.9,85.1,0,29
ANDAMAN & NICOBAR ISLANDS,26.6,22.7,206.3,89.3
ANDAMAN & NICOBAR ISLANDS,0,8.4,0,122.5
ANDAMAN & NICOBAR ISLANDS,583.7,0.8,0,21.9
ANDAMAN & NICOBAR ISLANDS,84.8,0.5,1.3,2.5
ANDAMAN & NICOBAR ISLANDS,0,0,0,37.7
ANDAMAN & NICOBAR ISLANDS,45,56.7,33.3,40.9
ANDAMAN & NICOBAR ISLANDS,0,0,0,0.5
ANDAMAN & NICOBAR ISLANDS,8,3.6,112,4.5
ANDAMAN & NICOBAR ISLANDS,77.4,6.9,11.4,10.7
ANDAMAN & NICOBAR ISLANDS,10.2,18,0,35.5
ANDAMAN & NICOBAR ISLANDS,122.3,7.4,3.1,13
ANDAMAN & NICOBAR ISLANDS,13.2,3.1,0,37.5
ANDAMAN & NICOBAR ISLANDS,245.3,34.3,15.6,323.1
ANDAMAN & NICOBAR ISLANDS,79.5,0,NA,91.3
ANDAMAN & NICOBAR ISLANDS,28.7,0,14.8,89.7
ANDAMAN & NICOBAR ISLANDS,36.6,0,8.6,50.4
ANDAMAN & NICOBAR ISLANDS,122.1,0,0,0.5
ANDAMAN & NICOBAR ISLANDS,3,17.5,17.8,108.6
ANDAMAN & NICOBAR ISLANDS,50.9,67.6,80.7,129.3
ANDAMAN & NICOBAR ISLANDS,74.2,118.4,129.2,69.8
ANDAMAN & NICOBAR ISLANDS,87.4,105.4,131.2,10.9
ANDAMAN & NICOBAR ISLANDS,25.3,0,2.5,2.5
ANDAMAN & NICOBAR ISLANDS,2.8,2.5,10.1,58.2
ANDAMAN & NICOBAR ISLANDS,4.5,11.7,8.1,58.4
ANDAMAN & NICOBAR ISLANDS,7.3,172.9,6.9,131.4
ANDAMAN & NICOBAR ISLANDS,6.6,0,0.5,133.6
ANDAMAN & NICOBAR ISLANDS,16.5,15.3,116.5,NA
ANDAMAN & NICOBAR ISLANDS,21.6,10.7,0,112
ANDAMAN & NICOBAR ISLANDS,13.4,57.2,50.5,101.6
ANDAMAN & NICOBAR ISLANDS,54.1,1.5,16.1,77.3
ANDAMAN & NICOBAR ISLANDS,0.5,2.8,59.4,0
ANDAMAN & NICOBAR ISLANDS,0,12.8,0,77.8
ANDAMAN & NICOBAR ISLANDS,39.2,7.4,NA,NA
ANDAMAN & NICOBAR ISLANDS,84.4,3.6,21.1,135.2
ANDAMAN & NICOBAR ISLANDS,25.1,111.1,63.2,127.7
ANDAMAN & NICOBAR ISLANDS,0,56.4,0,166.5
ANDAMAN & NICOBAR ISLANDS,0.8,0,0,95.5
ANDAMAN & NICOBAR ISLANDS,82.7,7.2,0,45.4
ANDAMAN & NICOBAR ISLANDS,0,0.8,69.7,39.4
ANDAMAN & NICOBAR ISLANDS,56,65.3,20.1,159.4
ANDAMAN & NICOBAR ISLANDS,83.8,2.1,34.3,58
ANDAMAN & NICOBAR ISLANDS,57.3,28.2,9.9,68.8
ANDAMAN & NICOBAR ISLANDS,49.2,77.2,33.8,130.3
ANDAMAN & NICOBAR ISLANDS,28,19.3,4.6,19
ANDAMAN & NICOBAR ISLANDS,22.9,14.3,30.4,24.6
ANDAMAN & NICOBAR ISLANDS,10.1,1.8,31.3,86.7
ANDAMAN & NICOBAR ISLANDS,104.2,72.4,12.1,53.5
ANDAMAN & NICOBAR ISLANDS,82.1,99.4,33.2,88.1
ANDAMAN & NICOBAR ISLANDS,152.4,14.9,17.3,46.4
